player_name,team,pos,week,proj_points,opp_def_rank,ros_value,rostered_pct,status

"Bijan Robinson","Atlanta Falcons","RB",10,18.2,14,1,99.9,"ACTIVE"
"Ja'Marr Chase","Cincinatti Bengals","WR",10,,,2,99.99,"BYE"
"Jahmyr Gibbs","Detroit Lions","RB",10,18.2,32,6,99.9,"ACTIVE"
"Christian McCaffrey","San Francisco 49ers","RB",10,24.4,9,3,99.9,"ACTIVE"
"Amon-Ra St.Brown","Detroit Lions","WR",10,22.3,32,9,99.9,"ACTIVE"
"Justin Jefferson","Minnesota Vikings","WR",10,19.9,4,12,99.9,"ACTIVE"
"Saquon Barkley","Philadelphia Eagles","RB",10,16.1,19,17,99.9,"ACTIVE"
"Josh Allen","Buffalo Bills","QB",10,22.5,25,22,99.9,"ACTIVE"
"Puka Nacua","Los Angeles Rams","WR",10,23.1,23,5,99.9,"ACTIVE"
"CeeDee Lamb","Dallas Cowboys","WR",10,,,8,99.9,"BYE"
"Jonathan Taylor","Indianapolis Colts","RB",10,21.3,6,4,99.9,"ACTIVE"
"Josh Jacobs","Green Bay Packers","RB",10,18.1,28,16,99.9,"ACTIVE"
"De'Von Achane","Miami Dolphins","RB",10,21.4,17,10,99.9,"ACTIVE"
"Trey McBride","Arizona Cardinals","TE",10,17.2,7,35,99.9,"ACTIVE"
"Lamar Jackson","Baltimore Ravens","QB",10,23.6,10,26,99.9,"ACTIVE"
"Jalen Hurts","Philadelphia Eagles","QB",10,21.4,19,34,99.9,"ACTIVE"
"James Cook III","Buffalo Bills","RB",10,21.0,25,11,99.9,"ACTIVE"
"Jaxon Smith-Njigba","Seattle Seahawks","WR",10,21.9,3,7,99.9,"ACTIVE"
"Derrick Henry","Baltimore Ravens","RB",10,15.8,10,21,99.9,"ACTIVE"
"Davante Adams","Los Angeles Rams","WR",10,16.5,23,18,99.9,"ACTIVE"
"Drake London","Atlanta Falcons","WR",10,19.8,14,15,99.9,"ACTIVE"
"Nico Collins","Houston Texans","WR",10,15.7,20,20,99.9,"ACTIVE"
"Patrick Mahomes","Kansas City Chiefs","QB",10,,,29,99.9,"BYE"
"Kyren Williams","Los Angeles Rams","RB",10,15.6,23,19,99.9,"ACTIVE"
"Ashton Jeanty","Las Vegas Raiders","RB",10,13.9,15,25,99.9,"ACTIVE"
"Cameron Dicker","Los Angeles Chargers","K",10,8.8,2,9,99.9,"ACTIVE"
"Brock Bowers","Las Vegas Raiders","TE",10,15.8,15,27,99.9,"ACTIVE"
"A.J. Brown","Philadelphia Eagles","WR",10,17.2,19,36,99.9,"ACTIVE"
"Ladd McConkey","Los Angeles Chargers","WR",10,15.3,2,30,99.9,"ACTIVE"
"George Kittle","San Francisco 49ers","TE",10,12.1,9,77,99.9,"ACTIVE"
"Rashee Rice","Kansas City Chiefs","WR",10,,,13,99.9,"BYE"
